CustomerKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,DateFirstPurchase,CommuteDistance
11000,Jon,Yang,"Yang, Jon",08-04-1966 00:00,M,M,90000,2,0,Bachelors,Professional,1,0,3761 N. 14th St,22-01-2014 00:00,1-2 Miles
11001,Eugene,Huang,"Huang, Eugene",14-05-1965 00:00,S,M,60000,3,3,Bachelors,Professional,0,1,2243 W St.,18-01-2014 00:00,0-1 Miles
11002,Ruben,Torres,"Torres, Ruben",12-08-1965 00:00,M,M,60000,3,3,Bachelors,Professional,1,1,5844 Linden Land,10-01-2014 00:00,2-5 Miles
11003,Christy,Zhu,"Zhu, Christy",15-02-1968 00:00,S,F,70000,0,0,Bachelors,Professional,0,1,1825 Village Pl.,01-01-2014 00:00,5-10 Miles
11004,Elizabeth,Johnson,"Johnson, Elizabeth",08-08-1968 00:00,S,F,80000,5,5,Bachelors,Professional,1,4,7553 Harness Circle,26-01-2014 00:00,1-2 Miles
11005,Julio,Ruiz,"Ruiz, Julio",05-08-1965 00:00,S,M,70000,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,02-01-2014 00:00,5-10 Miles
11006,Janet,Alvarez,"Alvarez, Janet",06-12-1965 00:00,S,F,70000,0,0,Bachelors,Professional,1,1,2612 Berry Dr,27-01-2014 00:00,5-10 Miles
11007,Marco,Mehta,"Mehta, Marco",09-05-1964 00:00,M,M,60000,3,3,Bachelors,Professional,1,2,942 Brook Street,12-01-2014 00:00,0-1 Miles
11008,Rob,Verhoff,"Verhoff, Rob",07-07-1964 00:00,S,F,60000,4,4,Bachelors,Professional,1,3,624 Peabody Road,28-01-2014 00:00,10+ Miles
11009,Shannon,Carlson,"Carlson, Shannon",01-04-1964 00:00,S,M,70000,0,0,Bachelors,Professional,0,1,3839 Northgate Road,30-01-2014 00:00,5-10 Miles
11010,Jacquelyn,Suarez,"Suarez, Jacquelyn",06-02-1964 00:00,S,F,70000,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,17-01-2014 00:00,5-10 Miles
11011,Curtis,Lu,"Lu, Curtis",04-11-1963 00:00,M,M,60000,4,4,Bachelors,Professional,1,4,1224 Shoenic,02-01-2014 00:00,10+ Miles
11012,Lauren,Walker,"Walker, Lauren",18-01-1968 00:00,M,F,100000,2,0,Bachelors,Management,1,2,4785 Scott Street,17-03-2016 00:00,1-2 Miles
11013,Ian,Jenkins,"Jenkins, Ian",06-08-1968 00:00,M,M,100000,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,15-04-2016 00:00,0-1 Miles
11014,Sydney,Bennett,"Bennett, Sydney",09-05-1968 00:00,S,F,100000,3,0,Bachelors,Management,0,3,9011 Tank Drive,24-03-2016 00:00,1-2 Miles
11015,Chloe,Young,"Young, Chloe",27-02-1979 00:00,S,F,30000,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,22-01-2016 00:00,5-10 Miles
11016,Wyatt,Hill,"Hill, Wyatt",28-04-1979 00:00,M,M,30000,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,13-02-2016 00:00,5-10 Miles
11017,Shannon,Wang,"Wang, Shannon",26-06-1944 00:00,S,F,20000,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,15-01-2014 00:00,5-10 Miles
11018,Clarence,Rai,"Rai, Clarence",09-10-1944 00:00,S,M,30000,2,0,Partial College,Clerical,1,2,244 Rivewview,20-01-2014 00:00,5-10 Miles
11019,Luke,Lal,"Lal, Luke",07-03-1978 00:00,S,M,40000,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,16-02-2016 00:00,5-10 Miles
11020,Jordan,King,"King, Jordan",20-09-1978 00:00,S,M,40000,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,02-01-2016 00:00,1-2 Miles
11021,Destiny,Wilson,"Wilson, Destiny",03-09-1978 00:00,S,F,40000,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,27-01-2016 00:00,1-2 Miles
11022,Ethan,Zhang,"Zhang, Ethan",12-10-1978 00:00,M,M,40000,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,24-01-2016 00:00,5-10 Miles
11023,Seth,Edwards,"Edwards, Seth",11-10-1978 00:00,M,M,40000,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,21-02-2016 00:00,1-2 Miles
11024,Russell,Xie,"Xie, Russell",17-09-1978 00:00,M,M,60000,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,29-06-2016 00:00,5-10 Miles
11025,Alejandro,Beck,"Beck, Alejandro",23-12-1945 00:00,M,M,10000,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,09-01-2014 00:00,1-2 Miles
11026,Harold,Sai,"Sai, Harold",03-04-1946 00:00,S,M,30000,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,26-01-2014 00:00,1-2 Miles
11027,Jessie,Zhao,"Zhao, Jessie",07-12-1946 00:00,M,M,30000,2,0,Partial College,Clerical,1,2,213 Valencia Place,19-01-2014 00:00,5-10 Miles
11028,Jill,Jimenez,"Jimenez, Jill",11-04-1946 00:00,M,F,30000,2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,29-01-2014 00:00,1-2 Miles
11029,Jimmy,Moreno,"Moreno, Jimmy",21-12-1946 00:00,M,M,30000,2,0,Partial College,Clerical,1,2,6385 Mark Twain,22-01-2014 00:00,1-2 Miles
11030,Bethany,Yuan,"Yuan, Bethany",22-02-1947 00:00,M,F,10000,2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,08-02-2014 00:00,1-2 Miles
11031,Theresa,Ramos,"Ramos, Theresa",22-08-1947 00:00,M,F,20000,4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,04-02-2014 00:00,1-2 Miles
11032,Denise,Stone,"Stone, Denise",11-06-1947 00:00,M,F,20000,4,0,High School,Skilled Manual,1,2,626 Bentley Street,21-02-2014 00:00,1-2 Miles
11033,Jaime,Nath,"Nath, Jaime",23-09-1947 00:00,M,M,20000,4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,18-02-2014 00:00,5-10 Miles
11034,Ebony,Gonzalez,"Gonzalez, Ebony",19-06-1947 00:00,M,F,20000,4,0,High School,Skilled Manual,1,2,5167 Condor Place,04-02-2014 00:00,5-10 Miles
11035,Wendy,Dominguez,"Dominguez, Wendy",24-02-1948 00:00,M,F,10000,2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,09-02-2014 00:00,1-2 Miles
11036,Jennifer,Russell,"Russell, Jennifer",18-12-1978 00:00,M,F,60000,0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,26-01-2016 00:00,1-2 Miles
11037,Chloe,Garcia,"Garcia, Chloe",27-11-1977 00:00,S,F,40000,0,0,Partial High School,Clerical,0,2,8915 Woodside Way,24-01-2016 00:00,5-10 Miles
11038,Diana,Hernandez,"Hernandez, Diana",23-03-1948 00:00,M,F,10000,2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,10-02-2014 00:00,5-10 Miles
11039,Marc,Martin,"Martin, Marc",17-12-1948 00:00,M,M,30000,3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,10-02-2014 00:00,5-10 Miles
11040,Jesse,Murphy,"Murphy, Jesse",01-08-1977 00:00,M,M,30000,0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,05-04-2016 00:00,1-2 Miles
11041,Amanda,Carter,"Carter, Amanda",16-10-1977 00:00,M,F,60000,0,0,Partial College,Skilled Manual,1,2,5826 Escobar,18-01-2016 00:00,1-2 Miles
11042,Megan,Sanchez,"Sanchez, Megan",13-06-1977 00:00,M,F,70000,0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,25-01-2016 00:00,0-1 Miles
11043,Nathan,Simmons,"Simmons, Nathan",24-02-1976 00:00,M,M,60000,0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,09-05-2016 00:00,5-10 Miles
11044,Adam,Flores,"Flores, Adam",24-05-1949 00:00,M,M,20000,2,1,Partial High School,Clerical,1,2,6935 Candle Dr,28-02-2014 00:00,1-2 Miles
11045,Leonard,Nara,"Nara, Leonard",19-05-1950 00:00,S,M,30000,3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,12-04-2016 00:00,1-2 Miles
11046,Christine,Yuan,"Yuan, Christine",22-03-1950 00:00,M,F,30000,3,0,High School,Skilled Manual,1,2,2356 Orange St,09-02-2014 00:00,5-10 Miles
11047,Jaclyn,Lu,"Lu, Jaclyn",27-02-1950 00:00,M,F,30000,3,0,High School,Skilled Manual,0,2,2812 Mazatlan,06-02-2014 00:00,1-2 Miles
11048,Jeremy,Powell,"Powell, Jeremy",22-11-1950 00:00,M,M,30000,3,0,High School,Skilled Manual,1,2,1803 Potomac Dr.,13-02-2014 00:00,5-10 Miles
11049,Carol,Rai,"Rai, Carol",18-07-1980 00:00,S,F,40000,0,0,Partial High School,Clerical,1,2,6064 Madrid,10-03-2016 00:00,5-10 Miles
11050,Alan,Zheng,"Zheng, Alan",07-09-1951 00:00,M,M,30000,3,0,High School,Skilled Manual,1,2,2741 Gainborough Dr.,23-02-2014 00:00,5-10 Miles
11051,Daniel,Johnson,"Johnson, Daniel",04-08-1951 00:00,S,M,30000,3,0,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,,1-2 Miles
11052,Heidi,Lopez,"Lopez, Heidi",07-08-1951 00:00,S,F,40000,2,0,Partial College,Clerical,0,2,2514 Via Cordona,20-02-2014 00:00,5-10 Miles
11053,Ana,Price,"Price, Ana",20-08-1980 00:00,M,F,60000,0,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,21-01-2016 00:00,1-2 Miles
11054,Deanna,Munoz,"Munoz, Deanna",10-03-1952 00:00,M,F,40000,2,0,Partial College,Skilled Manual,1,2,5825 B Way,06-02-2014 00:00,5-10 Miles
11055,Gilbert,Raje,"Raje, Gilbert",05-03-1952 00:00,M,M,40000,2,0,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,03-02-2014 00:00,5-10 Miles
11056,Michele,Nath,"Nath, Michele",03-04-1953 00:00,M,F,40000,3,0,Partial College,Skilled Manual,1,2,5464 Janin Pl.,28-02-2014 00:00,5-10 Miles
11057,Carl,Andersen,"Andersen, Carl",12-10-1953 00:00,M,M,70000,2,0,Graduate Degree,Management,1,2,6930 Lake Nadine Place,25-02-2014 00:00,1-2 Miles
11058,Marc,Diaz,"Diaz, Marc",27-04-1954 00:00,M,M,80000,2,0,Partial College,Skilled Manual,1,2,6645 Sinaloa,09-03-2014 00:00,1-2 Miles
11059,Ashlee,Andersen,"Andersen, Ashlee",01-04-1954 00:00,S,F,80000,2,0,Partial College,Skilled Manual,1,2,8255 Highland Road,22-02-2016 00:00,5-10 Miles
11060,Jon,Zhou,"Zhou, Jon",17-03-1954 00:00,M,M,80000,2,0,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,19-03-2014 00:00,5-10 Miles
11061,Todd,Gao,"Gao, Todd",27-02-1954 00:00,M,M,80000,2,0,Partial College,Skilled Manual,1,2,8808 Geneva Ave,13-03-2014 00:00,5-10 Miles
11062,Noah,Powell,"Powell, Noah",02-09-1975 00:00,M,M,40000,0,0,High School,Skilled Manual,1,2,9794 Marion Ct,11-01-2016 00:00,5-10 Miles
11063,Angela,Murphy,"Murphy, Angela",07-04-1975 00:00,S,F,40000,0,0,High School,Skilled Manual,1,2,4927 Virgil Street,16-01-2016 00:00,5-10 Miles
11064,Chase,Reed,"Reed, Chase",07-12-1975 00:00,M,M,40000,0,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,29-01-2016 00:00,5-10 Miles
11065,Jessica,Henderson,"Henderson, Jessica",09-10-1973 00:00,M,F,60000,0,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,14-02-2016 00:00,1-2 Miles
11066,Grace,Butler,"Butler, Grace",27-11-1973 00:00,M,F,70000,0,0,Partial College,Professional,1,2,4739 Garden Ave.,02-06-2016 00:00,5-10 Miles
